system:index,Npp,.geo
0_0,0.6321,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.5404,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.24180000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.42450000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.5325,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.3239,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.34750000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.4854,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.2624,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.3674,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.5155000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.4519,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.41340000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.4414,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.2727,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.4012,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.42250000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.31970000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.5992000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,0.6113000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,0.2894,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.7250000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,0.3391,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.11220000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.5096,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0.4806,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,0.6165,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.5586,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.4112,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,0.20270000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.2629,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,0.4662,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,0.2649,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.5083,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.2766,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,0.7911,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0.3266,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.5710000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.30110000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.3467,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,0.1187,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.3415,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.1516,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.4632,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.2706,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,0.2692,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.2446,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.5202,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,0.2818,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,0.5951000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0.4132,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0.2921,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,0.6880000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,0.4303,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,0.5486,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,0.22740000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,0.5509000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,0.5711,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,0.41960000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,0.2217,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,0.4811,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,0.2131,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,0.47200000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,0.4857,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,0.22660000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,0.12010000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,0.7305,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,0.28650000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,0.4985,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,0.4632,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,0.5078,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,0.4824,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,0.6586000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,0.7146,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,0.2093,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,0.33380000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,0.8417,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,0.3435,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,0.4142,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,0.2604,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,0.2485,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,0.21180000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,0.22460000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,0.3164,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,0.4495,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,0.5617,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,0.36960000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,0.6154000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,0.5424,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,0.4373,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,0.28190000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,0.5778,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,0.4174,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,0.1216,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,0.6196,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,0.2434,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,0.1242,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,0.7857000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,0.2058,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,0.4806,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,0.42510000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,0.2806,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,0.47000000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,0.667,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,0.5700000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,0.33290000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,0.1623,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,0.6777000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,0.4158,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,0.3891,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,0.4132,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,0.3321,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,0.5173,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,0.2756,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,0.4043,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,0.4158,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,0.42860000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,0.36660000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,0.22290000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,0.38320000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
