system:index,pr,.geo
0_0,97.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,180.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,82.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,104.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,99.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,75.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,79.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,110.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,77.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,73.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,95.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,96.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,89.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,89.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,96.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,103.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,88.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,78.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,146.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,113.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,86.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,79.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,74.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,64.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,90.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,92.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,131.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,179.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,86.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,73.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,92.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,99.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,65.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,148.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,85.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,114.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,91.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,110.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,96.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,90.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,56.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,78.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,60.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,139.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,79.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,95.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,80.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,76.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,86.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
