system:index,rsei,.geo
0_0,0.65063477,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.45252103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.3221165,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.6299592,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.7697517,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.32155403,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.629751,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.550975,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.50696653,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.5568077,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.73178416,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.5494256,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.56986046,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.6566981,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.44699243,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.62081695,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.8461202,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.5494149,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.66720474,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,0.3788171,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,0.41875693,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.7456199,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,0.3444223,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.2556698,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.87277347,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0.8495154,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,0.72963315,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.42723215,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.69855183,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,0.48765907,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.39122003,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,0.65293634,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,0.35811666,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.5174509,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.56380165,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,0.6325219,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0.42995718,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.5863734,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.3673485,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.65852076,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,0.23936328,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.5519586,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.210755,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.3577183,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.44172826,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,0.38796994,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.4147992,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.59179693,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,0.39496765,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,0.43080467,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0.7195039,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0.33221188,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,0.71434045,"{""type"":""MultiPoint"",""coordinates"":[]}"
