system:index,elevation,.geo
0_0,445,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,361,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,145,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,257,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,872,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,142,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,298,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,437,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,203,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,330,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,245,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,326,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,210,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,399,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,104,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,219,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,589,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,863,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,117,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,427,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,157,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,142,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,614,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,542,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,838,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,84,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,435,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,241,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,165,"{""type"":""MultiPoint"",""coordinates"":[]}"
