system:index,vap,.geo
0_0,1513.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,1832.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1802.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,1625.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,1119.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,1483.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,1471.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,1517.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,1688.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,1373.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,1584.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,1553.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,1582.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,1415.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,1815.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,1654.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,1229.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,1600.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,1434.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,2107.3333333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,1614.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,1455.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,1620.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,1617.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,1196.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,1268.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,1386.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,1979.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,1424.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,1528.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,1668.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,1582.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,1546.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,1639.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,1582.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,1503.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,1843.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,1562.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,1894.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,1255.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,1532.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,1402.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,1557.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,2082.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
