system:index,vs,.geo
0_0,285.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,134.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,253.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,251.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,239.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,270.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,305.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,239.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,261.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,259.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,290.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,269.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,295.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,262.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,241.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,248.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,165.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,227.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,173.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,310.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,270.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,217.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,267.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,317.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,254.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,203.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,232.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,133.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,289.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,327.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,276.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,278.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,326.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,195.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,300.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,154.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,228.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,144.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,219.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,187.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,291.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,292.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,279.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,285.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,286.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,239.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,268.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,222.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,266.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,301.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,228.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,210.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,176.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,174.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,189.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,326.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,226.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,155.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,238.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,312.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
